id,chemical_name,status,category,restriction_details,registered_formulations
158,Chlorimuron Ethyl,REGISTERED,UNKNOWN,,Chlorimuron Ethyl 25% WP + Surfactant
159,Chlormequat Chloride,REGISTERED,UNKNOWN,,
160,Chlorothalonil,REGISTERED,UNKNOWN,,Chlorothalonil 75% WP | Chlorothalonil 40% + Difenoconazole 4%w/w SC | Chlorothalonil 12.5% + Mancozeb 62.5% WG | Chlorothalonil 40% + Thiophanate methyl 35% WDG
161,Chlorpropham,REGISTERED,UNKNOWN,,Chlorpropham 300 g/l EC | Chlorpropham 50% HN | Chlorpropham 55.37% w/w
162,Chlorpyriphos,BANNED,UNKNOWN,,Chlorpyriphos 02 %w/w EC | Chlorpyriphos 75 %w/w WG | Chlorpyriphos Methyl 40%EC | Chlorpyriphos 50% + Cypermethrin 5% EC | Chlorpyriphos 50% + Cypermethrin 5% WG
163,Chlorpyriphos Methyl,REGISTERED,UNKNOWN,,
164,Chromafenozide,REGISTERED,UNKNOWN,,Chromafenozide 80%WP
165,Cinmethylin,REGISTERED,UNKNOWN,,Cinmethylin10% EC
166,Clethodim,REGISTERED,UNKNOWN,,Clethodim 13% w/w EC | Clethodim 25% EC
167,Clodinafop-Propargyl,REGISTERED,UNKNOWN,,Clodinafop-propargyl 15% DF | Clodinafop-propargyl 15% WP
168,Clomazone,REGISTERED,UNKNOWN,,"Clomazone 50% EC | Clomazone 20% + 2,4-DEthyl Ester 30%EC | Clomazone22.5%+Metribuzin 21%WP"
169,Clothianidin,REGISTERED,UNKNOWN,,Clothianidin 0.5% GR | Clothianidin 50% WDG | Clothianidin 10% + Chlorantraniliprole 6% WG | Clothianidin 3.5% + Pyriproxyfen 8% SE
170,Copper Hydroxide,REGISTERED,UNKNOWN,,Copper Hydroxide 46.1% WG | Copper Hydroxide 53.8% DF | Copper Hydroxide 61.41% WG | Copper Hydroxide 77% WP
171,Copper Oxychloride,REGISTERED,UNKNOWN,,Copper Oxychloride 40% paste | Copper Oxychloride 50% WP | Copper Oxychloride 50% WG | Copper Oxychloride 56% OP | Copper Oxychloride 47% + Metalaxyl 8% WP
172,Copper Sulphate,REGISTERED,UNKNOWN,,Copper Sulphate 2.62% SC | Copper Sulphate Pentahydrate 23.99 % | Copper Sulphate 47.15% + Mancozeb 30%WDG
173,Copper Sulphate Pentahydrate,REGISTERED,UNKNOWN,,
174,Coumachlor,REGISTERED,UNKNOWN,,
175,Coumatetralyl,REGISTERED,UNKNOWN,,Coumatetralyl 0.037% Bait | Coumatetralyl 0.75% Gel
176,Cuprous Oxide,REGISTERED,UNKNOWN,,
177,Cyantraniliprole,REGISTERED,UNKNOWN,,Cyantraniliprole 10.26% OD | Cyantraniliprole 28.30% OD | Cyantraniliprole 18.41% w/w SC | Cyantraniliprole 48% w/w FS | Cyantraniliprole 16.9% + Lufenuron 16.9% SC | Cyantraniliprole 7.3% + Diafenthiuron 36.4% SC | Cyantraniliprole 10 % + Pymetrozine 50 % WG | Cyantraniliprole 19.8% + Thiamethoxam 19.8% FS
178,Cyazofamid,REGISTERED,UNKNOWN,,Cyazofamid 34.5% SC | Cyazofamid 25% + Pyraclostrobin 18% w/v SC | Cyazofamid 6.2% + Mancozeb 60.8% WP
179,Cyclanilide,REGISTERED,UNKNOWN,,Cyclanilide 2.10% + MepiquatChloride 8.40% SC | Cyclanilide 2.10% w/w + Mepiquat Chloride 8.40% w/w SC
180,Cyclaniliprole,REGISTERED,UNKNOWN,,Cyclaniliprole 100 DC | Cyclaniliprole 7.4 % SL
181,Cyclobutrifluram,REGISTERED,UNKNOWN,,Cyclobutrifluram 41.6% FS | Cyclobutrifluram 38.4% SC
182,Cyenopyrafen,REGISTERED,UNKNOWN,,Cyenopyrafen 30% SC
183,Cyflufenamide,REGISTERED,UNKNOWN,,Cyflufenamide 5% EW
184,Cyflumetofen,REGISTERED,UNKNOWN,,Cyflumetofen 20% SC
185,Cyfluthrin,REGISTERED,UNKNOWN,,Cyfluthrin 05% EW | Cyfluthrin 10% WP | Cyfluthrin 0.025% + Tranfluthrin 0.04% Aerosol
186,Cyhalofop-Butyl,REGISTERED,UNKNOWN,,Cyhalofop-butyl 10% EC
187,Cymoxanil,REGISTERED,UNKNOWN,,Cymoxanil 50% WP | Cymoxanil 8%+Mancozeb 64%WP
188,Cyphenothrin,REGISTERED,UNKNOWN,,Cyphenothrin 7.2% VP w/w
189,Cyproconazole,REGISTERED,UNKNOWN,,Cyproconazole 12.5% + Tebuconazole 12.5% w/w SC
190,Cyzofamide,REGISTERED,UNKNOWN,,
191,Deltamethrin,REGISTERED,UNKNOWN,,
192,Diafenthiuron,REGISTERED,UNKNOWN,,Diafenthiuron 47.80% SC | Diafenthiuron 50% WP | Diafenthiuron 30% + Pyriproxyfen 8% SE | Diafenthiuron 40% + Spinetoram 5% SC | Diafenthiuron 47.0% + Bifenthrin 9.4% SC | Diafenthiuron 48.0% + Dinotefuran 8.0% WG | Diafenthiuron 18% + Fipronil 8% + Dinotefuran 5% SC | Diafenthiuron 12% + Fipronil 8% + Tolfenpyrad 5% SC
193,Dicamba,REGISTERED,UNKNOWN,,Dicamba 48% SL
194,Dichloro Diphenyl Trichloroethane,REGISTERED,UNKNOWN,,
195,Dichloropropene And Dichloropropane Mixture,REGISTERED,UNKNOWN,,
196,Diclofop-Methyl,REGISTERED,UNKNOWN,,Diclofop-methyl 28% EC
197,Diclosulam,REGISTERED,UNKNOWN,,Diclosulam 84%WDG | Diclosulam 0.9% + Pendimethalin 35% SL
198,Difenoconazole,REGISTERED,UNKNOWN,,Difenoconazole 25% EC | Difenoconazole 3% WS | Difenoconazole 10% +Mancozeb 50%WDG | Difenoconazole 4% + Propineb 64% DF | Difenoconazole 6% + Validamycin 6% SC
199,Diflubenzuron,REGISTERED,UNKNOWN,Aquatic toxicity; banned in EU,Diflubenzuron 0.1% w/w Termite bait | Diflubenzuron 02% GR | Diflubenzuron 02% Tablets | Diflubenzuron 25% WP | Diflubenzuron 20% + Deltamethrin 2% SC
200,Diflufenican,REGISTERED,UNKNOWN,,
201,Dimethomorph,REGISTERED,UNKNOWN,,Dimethomorph 50% WP | Dimethomorph 12%+Pyraclostrobin 6.7%WG
202,Dimethenamid-P,REGISTERED,UNKNOWN,,
203,Dimpropyridaz,REGISTERED,UNKNOWN,,Dimpropyridaz 120 g/L SL
204,Dinotefuron,REGISTERED,UNKNOWN,,
205,Dithianon,REGISTERED,UNKNOWN,,Dithianon 75% WP
206,Diuron,REGISTERED,UNKNOWN,Toxic to aquatic organisms; restricted in EU,Diuron 80%WP | Diuron 25.6% + Glyphosate 14.9% + Oxyfluorfen 11.5% SC
207,Dodine,REGISTERED,UNKNOWN,,Dodine 40% SC | Dodine 65% WP
208,D-Trans Allethrin,REGISTERED,UNKNOWN,,
209,Edifenphos,REGISTERED,UNKNOWN,,Edifenphos 50% EC
210,Emamectin Benzoate,REGISTERED,UNKNOWN,,Emamectin benzoate 1.1% + Diafenthiuron 30% SC | Emamectin benzoate 2.2% + Permethrin 15.3% SC | Emamectin benzoate 3.5% + Lambda cyhalothrin 5% WP | Emamectin benzoate 3.8% + Thiamethoxam 20% WDG | Emamectin Benzoate 1.25% + Lambda Cyhalothrin 1.5% + Bifenthrin 4.5% EC | Emamectin benzoate 1.9% + Chlorantraniliprole 5% + Deltamethrin 1% EC
211,Epoxyconazole,REGISTERED,UNKNOWN,,
212,Ethalfluralin,REGISTERED,UNKNOWN,,Ethalfluralin 35.65% EC
213,Ethephon,REGISTERED,UNKNOWN,,Ethephon 10% Paste | Ethephon 39% SL
